id,disease_name,main_symptoms,common_causes,care_advice,severity_level
D020,贫血,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D021,心肌病,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D022,哮喘,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D023,胃肠道异物,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D024,便秘综合征,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D025,角膜炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D026,结膜炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D027,中耳炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D028,口炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D029,猫瘟,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D030,弓形虫感染,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D031,真菌性皮炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D032,细菌性皮炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D033,食物不耐受,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D034,慢性腹泻,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D035,关节炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D036,椎间盘问题,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D037,癫痫样发作,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D038,肝炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D039,胆囊问题,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D040,胰岛素抵抗,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D041,多囊肾,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D042,高血压,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D043,低血糖,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D044,异食癖,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D045,肥胖症,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D046,脱水,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D047,产后低钙,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D048,子宫蓄脓,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D049,乳腺炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D050,猫抓病相关感染,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
