id,question,category,answer,recommended_products,seo_title
Q019,猫咪掉毛严重怎么办（饮食喂养）,饮食喂养,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪掉毛严重怎么办 饮食喂养
Q020,猫咪黑下巴反复怎么办（饮食喂养）,饮食喂养,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪黑下巴反复怎么办 饮食喂养
Q021,猫咪泪痕明显怎么办（饮食喂养）,饮食喂养,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪泪痕明显怎么办 饮食喂养
Q022,猫咪半夜跑酷怎么办（饮食喂养）,饮食喂养,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪半夜跑酷怎么办 饮食喂养
Q023,猫咪抓沙发怎么办（饮食喂养）,饮食喂养,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪抓沙发怎么办 饮食喂养
Q024,猫咪乱尿怎么办（饮食喂养）,饮食喂养,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪乱尿怎么办 饮食喂养
Q025,猫咪应激躲藏怎么办（饮食喂养）,饮食喂养,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪应激躲藏怎么办 饮食喂养
Q026,猫咪口臭怎么办（饮食喂养）,饮食喂养,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪口臭怎么办 饮食喂养
Q027,猫咪体重下降怎么办（饮食喂养）,饮食喂养,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪体重下降怎么办 饮食喂养
Q028,猫咪喝水太少怎么办（饮食喂养）,饮食喂养,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪喝水太少怎么办 饮食喂养
Q029,猫咪便秘怎么办（饮食喂养）,饮食喂养,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪便秘怎么办 饮食喂养
Q030,猫咪舔毛过度怎么办（饮食喂养）,饮食喂养,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪舔毛过度怎么办 饮食喂养
Q031,猫咪不吃猫粮怎么办（肠胃问题）,肠胃问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪不吃猫粮怎么办 肠胃问题
Q032,猫咪软便拉稀怎么办（肠胃问题）,肠胃问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪软便拉稀怎么办 肠胃问题
Q033,猫咪频繁呕吐怎么办（肠胃问题）,肠胃问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪频繁呕吐怎么办 肠胃问题
Q034,猫咪掉毛严重怎么办（肠胃问题）,肠胃问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪掉毛严重怎么办 肠胃问题
Q035,猫咪黑下巴反复怎么办（肠胃问题）,肠胃问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪黑下巴反复怎么办 肠胃问题
Q036,猫咪泪痕明显怎么办（肠胃问题）,肠胃问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪泪痕明显怎么办 肠胃问题
Q037,猫咪半夜跑酷怎么办（肠胃问题）,肠胃问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪半夜跑酷怎么办 肠胃问题
Q038,猫咪抓沙发怎么办（肠胃问题）,肠胃问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪抓沙发怎么办 肠胃问题
Q039,猫咪乱尿怎么办（肠胃问题）,肠胃问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪乱尿怎么办 肠胃问题
Q040,猫咪应激躲藏怎么办（肠胃问题）,肠胃问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪应激躲藏怎么办 肠胃问题
Q041,猫咪口臭怎么办（肠胃问题）,肠胃问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪口臭怎么办 肠胃问题
Q042,猫咪体重下降怎么办（肠胃问题）,肠胃问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪体重下降怎么办 肠胃问题
Q043,猫咪喝水太少怎么办（肠胃问题）,肠胃问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪喝水太少怎么办 肠胃问题
Q044,猫咪便秘怎么办（肠胃问题）,肠胃问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪便秘怎么办 肠胃问题
Q045,猫咪舔毛过度怎么办（肠胃问题）,肠胃问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪舔毛过度怎么办 肠胃问题
Q046,猫咪不吃猫粮怎么办（日常护理）,日常护理,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪不吃猫粮怎么办 日常护理
Q047,猫咪软便拉稀怎么办（日常护理）,日常护理,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪软便拉稀怎么办 日常护理
Q048,猫咪频繁呕吐怎么办（日常护理）,日常护理,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪频繁呕吐怎么办 日常护理
Q049,猫咪掉毛严重怎么办（日常护理）,日常护理,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪掉毛严重怎么办 日常护理
Q050,猫咪黑下巴反复怎么办（日常护理）,日常护理,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪黑下巴反复怎么办 日常护理
Q051,猫咪泪痕明显怎么办（日常护理）,日常护理,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪泪痕明显怎么办 日常护理
Q052,猫咪半夜跑酷怎么办（日常护理）,日常护理,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪半夜跑酷怎么办 日常护理
Q053,猫咪抓沙发怎么办（日常护理）,日常护理,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪抓沙发怎么办 日常护理
Q054,猫咪乱尿怎么办（日常护理）,日常护理,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪乱尿怎么办 日常护理
Q055,猫咪应激躲藏怎么办（日常护理）,日常护理,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪应激躲藏怎么办 日常护理
Q056,猫咪口臭怎么办（日常护理）,日常护理,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪口臭怎么办 日常护理
Q057,猫咪体重下降怎么办（日常护理）,日常护理,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪体重下降怎么办 日常护理
Q058,猫咪喝水太少怎么办（日常护理）,日常护理,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪喝水太少怎么办 日常护理
Q059,猫咪便秘怎么办（日常护理）,日常护理,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪便秘怎么办 日常护理
Q060,猫咪舔毛过度怎么办（日常护理）,日常护理,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪舔毛过度怎么办 日常护理
Q061,猫咪不吃猫粮怎么办（行为问题）,行为问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪不吃猫粮怎么办 行为问题
Q062,猫咪软便拉稀怎么办（行为问题）,行为问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪软便拉稀怎么办 行为问题
Q063,猫咪频繁呕吐怎么办（行为问题）,行为问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪频繁呕吐怎么办 行为问题
Q064,猫咪掉毛严重怎么办（行为问题）,行为问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪掉毛严重怎么办 行为问题
Q065,猫咪黑下巴反复怎么办（行为问题）,行为问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪黑下巴反复怎么办 行为问题
Q066,猫咪泪痕明显怎么办（行为问题）,行为问题,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪泪痕明显怎么办 行为问题
Q067,猫咪半夜跑酷怎么办（行为问题）,行为问题,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪半夜跑酷怎么办 行为问题
Q068,猫咪抓沙发怎么办（行为问题）,行为问题,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪抓沙发怎么办 行为问题
Q069,猫咪乱尿怎么办（行为问题）,行为问题,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪乱尿怎么办 行为问题
Q070,猫咪应激躲藏怎么办（行为问题）,行为问题,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪应激躲藏怎么办 行为问题
Q071,猫咪口臭怎么办（行为问题）,行为问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪口臭怎么办 行为问题
Q072,猫咪体重下降怎么办（行为问题）,行为问题,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪体重下降怎么办 行为问题
Q073,猫咪喝水太少怎么办（行为问题）,行为问题,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪喝水太少怎么办 行为问题
Q074,猫咪便秘怎么办（行为问题）,行为问题,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪便秘怎么办 行为问题
Q075,猫咪舔毛过度怎么办（行为问题）,行为问题,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪舔毛过度怎么办 行为问题
Q076,猫咪不吃猫粮怎么办（健康就医）,健康就医,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪不吃猫粮怎么办 健康就医
Q077,猫咪软便拉稀怎么办（健康就医）,健康就医,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪软便拉稀怎么办 健康就医
Q078,猫咪频繁呕吐怎么办（健康就医）,健康就医,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪频繁呕吐怎么办 健康就医
Q079,猫咪掉毛严重怎么办（健康就医）,健康就医,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪掉毛严重怎么办 健康就医
Q080,猫咪黑下巴反复怎么办（健康就医）,健康就医,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪黑下巴反复怎么办 健康就医
Q081,猫咪泪痕明显怎么办（健康就医）,健康就医,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪泪痕明显怎么办 健康就医
Q082,猫咪半夜跑酷怎么办（健康就医）,健康就医,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪半夜跑酷怎么办 健康就医
Q083,猫咪抓沙发怎么办（健康就医）,健康就医,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪抓沙发怎么办 健康就医
Q084,猫咪乱尿怎么办（健康就医）,健康就医,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪乱尿怎么办 健康就医
Q085,猫咪应激躲藏怎么办（健康就医）,健康就医,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪应激躲藏怎么办 健康就医
Q086,猫咪口臭怎么办（健康就医）,健康就医,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪口臭怎么办 健康就医
Q087,猫咪体重下降怎么办（健康就医）,健康就医,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪体重下降怎么办 健康就医
Q088,猫咪喝水太少怎么办（健康就医）,健康就医,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪喝水太少怎么办 健康就医
Q089,猫咪便秘怎么办（健康就医）,健康就医,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪便秘怎么办 健康就医
Q090,猫咪舔毛过度怎么办（健康就医）,健康就医,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪舔毛过度怎么办 健康就医
Q091,猫咪不吃猫粮怎么办（环境布置）,环境布置,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪不吃猫粮怎么办 环境布置
Q092,猫咪软便拉稀怎么办（环境布置）,环境布置,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪软便拉稀怎么办 环境布置
Q093,猫咪频繁呕吐怎么办（环境布置）,环境布置,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪频繁呕吐怎么办 环境布置
Q094,猫咪掉毛严重怎么办（环境布置）,环境布置,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪掉毛严重怎么办 环境布置
Q095,猫咪黑下巴反复怎么办（环境布置）,环境布置,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪黑下巴反复怎么办 环境布置
Q096,猫咪泪痕明显怎么办（环境布置）,环境布置,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪泪痕明显怎么办 环境布置
Q097,猫咪半夜跑酷怎么办（环境布置）,环境布置,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪半夜跑酷怎么办 环境布置
Q098,猫咪抓沙发怎么办（环境布置）,环境布置,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪抓沙发怎么办 环境布置
Q099,猫咪乱尿怎么办（环境布置）,环境布置,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪乱尿怎么办 环境布置
Q100,猫咪应激躲藏怎么办（环境布置）,环境布置,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪应激躲藏怎么办 环境布置
Q101,猫咪口臭怎么办（环境布置）,环境布置,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪口臭怎么办 环境布置
Q102,猫咪体重下降怎么办（环境布置）,环境布置,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪体重下降怎么办 环境布置
Q103,猫咪喝水太少怎么办（环境布置）,环境布置,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪喝水太少怎么办 环境布置
Q104,猫咪便秘怎么办（环境布置）,环境布置,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪便秘怎么办 环境布置
Q105,猫咪舔毛过度怎么办（环境布置）,环境布置,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪舔毛过度怎么办 环境布置
Q106,猫咪不吃猫粮怎么办（多猫家庭）,多猫家庭,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪不吃猫粮怎么办 多猫家庭
Q107,猫咪软便拉稀怎么办（多猫家庭）,多猫家庭,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪软便拉稀怎么办 多猫家庭
Q108,猫咪频繁呕吐怎么办（多猫家庭）,多猫家庭,常见与新猫加入有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,费洛蒙喷雾|化毛膏,猫咪频繁呕吐怎么办 多猫家庭
Q109,猫咪掉毛严重怎么办（多猫家庭）,多猫家庭,常见与季节变化有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,化毛膏|鱼油,猫咪掉毛严重怎么办 多猫家庭
Q110,猫咪黑下巴反复怎么办（多猫家庭）,多猫家庭,常见与零食过量有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,鱼油|益生菌,猫咪黑下巴反复怎么办 多猫家庭
Q111,猫咪泪痕明显怎么办（多猫家庭）,多猫家庭,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌|慢食碗,猫咪泪痕明显怎么办 多猫家庭
Q112,猫咪半夜跑酷怎么办（多猫家庭）,多猫家庭,常见与搬家应激有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,慢食碗|自动饮水机,猫咪半夜跑酷怎么办 多猫家庭
Q113,猫咪抓沙发怎么办（多猫家庭）,多猫家庭,常见与清洁不到位有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,自动饮水机|豆腐猫砂,猫咪抓沙发怎么办 多猫家庭
Q114,猫咪乱尿怎么办（多猫家庭）,多猫家庭,常见与运动不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,豆腐猫砂|矿砂,猫咪乱尿怎么办 多猫家庭
Q115,猫咪应激躲藏怎么办（多猫家庭）,多猫家庭,常见与饮水不足有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,矿砂|猫抓板,猫咪应激躲藏怎么办 多猫家庭
Q116,猫咪口臭怎么办（多猫家庭）,多猫家庭,常见与作息打乱有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,猫抓板|逗猫棒,猫咪口臭怎么办 多猫家庭
Q117,猫咪体重下降怎么办（多猫家庭）,多猫家庭,常见与猫砂不适应有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,逗猫棒|费洛蒙喷雾,猫咪体重下降怎么办 多猫家庭
