title,content
猫粮篇 · 国产（速览）,鲜朗：大袋折扣不多，可薅试吃；日常约 30 元/斤。；帕特：品类价差大；果蔬系列适合微胖猫；鹌鹑系列偏低敏；长肉向可看生命系列；幼时曾有羊奶粉幼猫系列个案。；喵梵思：折扣多，可蹲直播间半价。；弗列加特：偏油，长肉向较多。；卫仕：爆爆桶冻干夹心，挑食猫更爱吃个案。；美士：减肥猫粮方向。；诚实一口：无功无过型讨论。；东边：适合肠胃偏弱猫，价格偏贵。；网易严选：网易系自有宠物主粮线，渠道多在 App 与电商活动；系列多、价位带宽，常与鲜朗等同档对比，选购重点看动物性原料排序、豆薯谷物比例、是否全价与检测报告，大包前建议试吃或小包装起步。；金故：国产牌，主粮、主食冻干、罐头等线功课并存；适口与价位因猫差异大，罐头侧常见「肉泥细腻、适口好」类反馈，主粮仍建议先试吃再囤；与冻干、罐搭配时注意全日热量。；格吾安：多系列如「小金盾」等，须对照包装确认幼猫/成猫、是否全价主食；功课常提钙磷比、配料来源与代工厂信息，玻璃胃个体换粮需更慢、观察粪便。；蓝氏：以「乳鸽」等禽肉配方在功课里曝光度高；蛋白脂肪偏高向讨论多，易软便猫建议更保守的七日（或更长）换粮，并备益生菌或与兽医沟通。；国产粮共性：搜近半年批次评价与翻车贴；警惕过度营销的「单项指标」；幼猫、肾病、肥胖、过敏等特殊状态遵医嘱选粮。
零食投喂与频次备忘,与《零食与驱虫红线》分工：本条侧重搭配与频次，红线侧重「药须医嘱、勿自配剂量」。；优先全价主食级肉条、冻干、餐包，避免长期用零食顶一顿正餐。；猫条诱食强：常见功课建议控制在每周约一根量级，防挑食与肥胖。；鸡脖等硬冻干可作洁牙辅助示意，注意呛噎与碎骨风险，幼猫与吞咽急猫慎用。；新口味先小包装试；全日总热量仍须控制。
驱虫 · 内外驱与轮换功课,须兽医按体重、年龄、地区与产品说明书开药，勿照抄短视频剂量。；内驱（如海乐妙等）：覆盖线虫、部分绦虫等因成分而异。；外驱（如大宠爱、爱沃克、福来恩）：蚤虱蜱覆盖范围不同，孕猫、幼猫禁忌以说明书与医嘱为准。；轮换：在兽医同意下可随季节与外出频率调整品牌或内外组合，减少单一产品虫谱死角。；驱虫日与疫苗、洗澡等间隔以医院安排为准。
猫粮篇 · 进口（速览）,常见讨论：百利、渴望、爱肯拿、巅峰、纽顿（部分功课推荐）、法米娜等；多肉高蛋白、单价偏高类居多，以配料、检测与个体耐受为准。；法米娜口味选择多、控体重向讨论有；曾有过品控相关新闻，大包前建议自行检索近期反馈。；换粮务必渐进；幼猫、病猫换粮先问兽医。
猫罐头,品牌示例：金故、喜崽、喵梵思、诚实一口、格吾安、添赐力、弗列加特、鲜朗、ziwi、zeal、小李子、帕特等（适口因猫而异）。；质地备忘：金故偏细腻肉泥、喜崽偏厚米糊、喵梵思偏稀、弗列加特肉质偏扎实、鲜朗肉泥厚实。；有小包装约 40g 与大盘装之分，按需防浪费与肥胖。；罐头可辅助补水与蛋白质，须看是否全价与喂食量，防肥胖与挑食。
冻干,偏贵线常见讨论：帕特主食冻干、爱立方、生生不息、金故等；平价线如喵梵思脆块、地狱厨房等。；能量密度高，注意控量与主食平衡，避免只吃冻干不吃粮。
猫咪用品 · 碗、饮水机、喂食器、监控,猫粮碗、水碗、餐盘；幼猫吃得乱可垫大盘便于打扫。；饮水机须勤洗、定期换滤芯；流动水有助于提高饮水意愿。；自动喂食器：多猫可看霍曼，可改成双碗分流；霍曼没有 App，断电/卡粮未必有推送，要习惯人工排查。；单猫可看小佩：摄像头视野大，远程看进食更直观。；监控：固定视角入门款可对准食盆砂盆；TP-Link 类支持行踪与回看，增值套餐常见几十元～百元/年（以 App 标价为准）。详见用品库「固定视角宠物摄像头」「TP-Link宠物监控」。
猫砂,常见品牌：pidan、petshy、allforpaws、网易严选、福丸、许翠花、城市理享、铁锤矿砂等。；矿砂功课举例：哆唻咪、妮可露等（与豆腐砂叠用讨论多）。；矿砂 + 豆腐砂混用常更方便铲屎与结团；封闭砂盆、不锈钢盆、脚垫可按需配置。
猫咪绝育 · 母猫套餐参考,公猫与母猫在术式、恢复与护理上差别大，对照见长文《公猫与母猫绝育：差异、护理要点与常见误区》。；母猫绝育套餐可参考：术前生化十项 + 血常规 + 理学检查；术中呼吸麻醉、超声刀、留置针、输液、心电/血压监护等；术后消炎止痛与手术衣。具体以医院与个体为准，禁食禁水遵医嘱。
猫咪护理（补剂与刷牙）,鱼油：MAG、卫仕、vetwish；添赐力营养膏：绝育后或体质差可问兽医是否适用；乳铁蛋白：麦德氏、vetwish、MAG；化毛膏：vetwish、MAG、红狗、卫仕；维生素（猫癣辅助向）：卫仕、vetwish；贫血：添赐力补血肝精等须兽医评估；矮脚猫关节：软骨素（MAG、vetwish、麦德氏等）遵医嘱；益生菌：MAG、麦德氏；刷牙：小壳等（循序渐进脱敏）
玩具与除毛,玩具：电动球、猫抓板、猫爬架、allforpaws 旋转尾巴、逗猫棒；除毛：除毛刷、粘毛器、除螨仪等按需
公猫与母猫绝育：差异、护理要点与常见误区,【总述】公猫与母猫绝育差别主要在：手术方式、恢复时间、护理难度、风险点；具体禁食禁水、麻醉与用药以主诊兽医为准。；【一、公猫去势】摘除睾丸；手术常 5～10 分钟；创口很小一般不需缝针；麻醉多为常规短效方案；恢复常 1～3 天即较正常。术前：禁食 6～8 小时、禁水 2～4 小时；确认近期无感冒、腹泻等急性问题。术后：戴伊丽莎白圈防舔；当天可能晕麻；勿剧烈跳跃。伤口警示：持续出血、明显红肿、猫一直舔——联系医生。行为变化：喷尿概率常下降、打架减少、发情相关行为消失。；【二、母猫卵巢子宫切除】腹腔手术，复杂度高；手术常 20～40 分钟；腹部切口需缝合；全身麻醉；恢复常 7～10 天。术前：禁食 8 小时以上；尽量避免发情期；基础检查（如血检）更安全。术后：必须戴头套或穿手术服；限制跳跃；环境干净。每日看伤口：渗血、红肿、裂开。拆线：一般 7～10 天，部分医院用可吸收线遵医嘱。；【三、核心对照】手术复杂度公猫简单母猫较复杂；时长 5～10 分 vs 20～40 分；是否开腹：公猫否、母猫是；恢复 1～3 天 vs 7～10 天；费用公猫较低母猫较高；护理难度公猫低母猫中等。；【四、易忽略】① 适龄多为 6～8 个月个体化，发情前更佳；② 绝育后更易胖：换/讨论绝育粮、控零食、多运动；③ 母猫发情期一般不宜手术（充血出血风险）；④ 公猫早绝育更易减少乱尿标记；⑤ 母猫适龄绝育有助降低子宫蓄脓与部分乳腺肿瘤风险；经历多次发情与乳腺肿瘤风险关联讨论较多——以兽医评估为准。；【免责】套餐、住院与消炎方案因院而异；本文不能替代面诊与处方。
猫咪绝育 · FAQ Top 20 索引与知识库分组,站内问答库已收录以下高频标题（可各做独立 FAQ 页）：公猫绝育多少钱；母猫绝育多少钱；公猫绝育会恨主人吗；母猫绝育伤口多久恢复；猫绝育后性格会变吗；公猫绝育还会乱尿吗；母猫发情期能绝育吗；猫绝育前能喝水吗；猫什么时候绝育最好；猫绝育后会变胖吗；猫绝育后需要戴头套吗；公猫绝育需要缝针吗；母猫绝育需要拆线吗；猫绝育后多久可以正常活动；猫绝育后需要吃消炎药吗；猫绝育当天可以回家吗；猫绝育后多久可以洗澡；猫绝育会影响寿命吗；猫绝育后还会发情吗；公猫绝育需要住院吗。；建站/Notion 建议分组：绝育价格｜绝育年龄｜术前准备｜手术过程｜术后护理｜行为变化；每一组下可再扩写 10～20 条问答以充实专题。
《新手养猫清单》摘录 · 消耗品思路,主食优先「全价」；零食控制量；可约一年轮换品牌分散品控风险（经验谈）；进口粮功课：爱肯拿、渴望、百利高、法米娜、皇家、纽顿等；国内：鲜朗、弗列加特；湿粮幼猫可先少量试；羊奶与奶粉以产品说明与兽医为准；猫砂：木薯/矿砂/豆腐路线；清单侧不推荐膨润土（自行甄别）；省砂思路：多包豆腐打底 + 上层矿砂、不定时补仓；陶瓷平口大碗、黑色水碗、多放水点；砂盆偏大、月洗消；kojima 湿巾、petsmile 刷牙等见清单全文
《新手养猫清单》摘录 · 零食与驱虫红线,零食选全价主食向为主；猫条建议控制频次；冻干/罐头/Ven/Mjam/k9 等仅作业余功课；适口因猫而异；驱虫药：大宠爱、爱沃克、福来恩、海乐妙等须兽医按体重与地区开具；抗生素与内服药禁止按网络剂量自喂；外用药亦须医嘱。；喂养搭配与驱虫轮换框架见长文《零食投喂与频次备忘》《驱虫 · 内外驱与轮换功课》，避免本条无限拉长。
猫咪用品 · 监控与猫砂盆（群友选购笔记）,固定视角摄像头：入门价位常较低，可架在猫碗、猫砂盆附近观察是否在吃粮、如厕。；TP-Link 类宠物监控：可记录行踪、定点回看，部分功能需付费云/会员（群友反馈约 70 元/年量级，以 App 标价为准）。；封闭式猫砂盆：有需自行组装的款式；链接仅作检索占位，失效请按关键词重搜。；电商链接可能变更，不保证长期有效。
《新手养猫清单》摘录 · 小药箱与外出装备,托百士妥布霉素滴眼液：眼红眼肿须在兽医确诊后使用。；生理盐水：清洁泪痕、示意洗耳、黑下巴擦拭等。；碘伏：外伤消毒；与部分外用药勿混用须遵说明。；驱虫：海乐妙、大宠爱、爱沃克、福来恩等须兽医按体重开具，可轮换扩大虫谱。；乳铁蛋白：MAG、vetwish、添赐力、jarrow 等功课多，使用前问兽医。；速诺、多西环素等抗生素禁止按网络剂量自喂。；益生菌：腹泻辅助遵医嘱，品牌个案如它宠。；航空箱宜偏大便于术后平躺与长途；猫包选底部支撑稳的款以免猫缺乏安全感。；外出牵引推荐工字型胸背。
