name,symptoms,cause,treatment,prevention,is_common,medicines,vet_note
呕吐-胃炎,呕吐、食欲下降、精神萎靡、脱水,细菌感染、病毒感染、食物刺激,1.禁食12-24小时 2.补充水分和电解质 3.抗生素治疗（速诺） 4.保护胃黏膜 5.严重时输液治疗,1.避免喂食变质食物 2.减少应激 3.定期驱虫 4.注意饮食卫生,是,速诺片剂、益生菌,建议就医
结膜炎,眼睛红肿、分泌物增多、流泪、眼睛半闭,细菌感染、病毒感染、异物刺激、过敏,1.托百士妥布霉素滴眼液 2.生理盐水清洁眼睛 3.清除异物 4.抗生素眼膏（严重时） 5.保持眼部清洁,1.保持眼部清洁 2.避免灰尘刺激 3.避免接触患病猫 4.增强免疫力 5.定期检查眼睛,是,托百士妥布霉素滴眼液、生理盐水,建议就医
角膜炎,眼睛疼痛、流泪、角膜混浊、畏光,外伤、感染、干眼症,1.抗生素眼药水/眼膏 2.疼痛管理 3.保护眼睛（伊丽莎白圈） 4.严重时需手术,1.避免眼部外伤 2.保持眼部清洁 3.及时治疗眼部疾病 4.定期检查,否,抗生素眼药水、伊丽莎白圈,必须就医
牙龈炎,牙龈红肿、出血、口臭、食欲下降,牙菌斑堆积、口腔卫生差,1.定期刷牙 2.洁牙 3.抗生素治疗（速诺） 4.严重时拔牙 5.补充维生素,1.定期刷牙 2.提供磨牙零食（冻干鸡脖） 3.定期口腔检查 4.喂食干粮帮助清洁牙齿,是,宠物牙刷、牙膏、速诺片剂、冻干鸡脖,建议就医
肥胖症,体重超标、行动迟缓、呼吸困难、食欲旺盛,过度喂食、缺乏运动、绝育后代谢变慢,1.控制饮食量 2.使用减肥猫粮 3.增加运动量 4.避免喂食高热量零食 5.定期称重,1.控制喂食量 2.增加运动 3.选择低脂猫粮 4.定期称重 5.绝育后注意饮食,是,减肥猫粮,一般不需就医
糖尿病,多饮多尿、体重下降、食欲异常、精神萎靡,胰岛素分泌不足、肥胖、遗传,1.胰岛素注射 2.特殊饮食（低碳水化合物） 3.定期监测血糖 4.保持规律饮食 5.定期体检,1.控制体重 2.规律饮食 3.定期体检 4.避免高糖食物 5.注意糖尿病早期症状,否,胰岛素,必须就医
甲状腺功能亢进,体重下降、食欲增加、多饮多尿、心率加快、呕吐,甲状腺肿瘤（老年猫常见）,1.抗甲状腺药物 2.碘131治疗 3.手术切除（少见） 4.定期监测甲状腺激素 5.支持性治疗,1.定期体检 2.注意老年猫体重变化 3.早期发现早期治疗 4.避免应激,否,抗甲状腺药物,必须就医
肾脏疾病,多饮多尿、食欲下降、呕吐、消瘦、口腔溃疡,年龄相关、毒素、感染、遗传,1.输液治疗 2.控制磷摄入 3.肾脏处方粮 4.血压控制 5.贫血治疗 6.定期监测肾功能,1.定期体检 2.充足饮水 3.避免肾毒性药物 4.早期发现早期治疗 5.老年猫更需注意,否,肾脏处方粮、输液治疗,必须就医
肝脏疾病,食欲下降、黄疸、呕吐、消瘦、精神萎靡,毒素、感染、脂肪肝、肿瘤,1.保肝药物 2.支持性治疗 3.营养支持 4.治疗原发病 5.严重时输液,1.避免肝毒性物质 2.定期体检 3.健康饮食 4.避免肥胖 5.早期发现,否,保肝药物,必须就医
脂肪肝,食欲下降、黄疸、呕吐、精神萎靡、体重下降,长期不进食导致脂肪堆积,1.强制喂食 2.营养支持 3.保肝治疗 4.输液治疗 5.监测肝功能,1.避免长期不进食 2.及时治疗食欲不振 3.健康饮食 4.避免肥胖 5.定期体检,否,营养支持、保肝药物,必须就医
心脏疾病,呼吸困难、咳嗽、食欲下降、运动耐力下降、突发死亡,先天性心脏缺陷、肥厚型心肌病、扩张型心肌病,1.药物治疗 2.限制运动 3.低盐饮食 4.定期检查心脏功能 5.严重时氧疗,1.定期体检 2.早期发现 3.避免应激 4.健康饮食 5.注意运动后反应,否,心脏药物,必须就医
骨折,肢体肿胀、疼痛、无法行走、异常姿势,外伤、高处坠落、车辆撞击,1.立即就医 2.X光检查 3.固定骨折部位 4.手术或保守治疗 5.止痛治疗 6.康复训练,1.封窗防止坠落 2.避免高处攀爬 3.外出使用牵引绳 4.注意安全,否,止痛药、固定材料,必须就医
中毒,呕吐、腹泻、抽搐、昏迷、呼吸困难,误食有毒物质（百合、巧克力、药物等）,1.立即就医 2.催吐（根据毒物种类） 3.对症治疗 4.支持性治疗 5.解毒剂（如有）,1.避免接触有毒植物（百合） 2.不吃巧克力、咖啡 3.药物妥善保管 4.避免接触杀虫剂 5.了解常见有毒物质,否,解毒剂、输液,必须就医
中暑,呼吸急促、体温升高、精神萎靡、甚至昏迷,高温环境、密闭空间、缺乏通风,1.立即降温（温水擦拭） 2.补充水分 3.严重时立即就医 4.输液治疗 5.监测体温,1.避免高温环境 2.保持通风 3.不要留在密闭车内 4.夏季注意防暑 5.充足饮水,否,输液,严重时需就医
热应激,张口呼吸、流口水、体温升高、心率加快,高温环境、应激、过度运动,1.立即降温 2.补充水分 3.转移到阴凉处 4.休息 5.严重时就医,1.避免高温环境 2.保持通风 3.避免过度运动 4.夏季注意防暑,否,无,严重时需就医
子宫蓄脓,食欲下降、精神萎靡、腹大、阴道分泌物、发烧,细菌感染、未绝育,1.立即就医 2.手术治疗（绝育） 3.抗生素治疗 4.输液治疗 5.支持性治疗,1.适龄绝育 2.定期体检 3.注意分泌物异常 4.早期发现,否,抗生素、输液,必须就医
乳腺肿瘤,乳房肿块、疼痛、分泌物、消瘦,激素影响、遗传,1.手术切除 2.化疗（恶性） 3.支持性治疗 4.定期检查,1.适龄绝育 2.定期体检 3.早期发现 4.触摸检查乳房,否,手术、化疗,必须就医
皮肤过敏,瘙痒、抓挠、皮肤红肿、掉毛,食物过敏、环境过敏、接触性过敏,1.寻找过敏原 2.避免接触过敏原 3.抗过敏药物 4.皮肤护理 5.严重时激素治疗,1.记录过敏原 2.避免接触 3.保持环境清洁 4.选择低敏猫粮,否,抗过敏药物,建议就医
过敏性鼻炎,打喷嚏、流鼻涕、鼻子瘙痒,环境过敏（花粉、灰尘）,1.避免接触过敏原 2.抗过敏药物 3.清洁鼻腔 4.保持环境清洁,1.保持环境清洁 2.减少灰尘 3.避免过敏原 4.空气净化,否,抗过敏药物,建议就医
外伤,出血、疼痛、伤口、肿胀,外伤、打架、意外,1.清洁伤口（生理盐水） 2.消毒（碘伏） 3.止血 4.包扎 5.严重时缝合 6.抗生素预防感染,1.多猫家庭注意隔离 2.避免危险物品 3.外出注意安全 4.定期检查猫咪状态,是,生理盐水、碘伏、速诺片剂,严重时需就医
外伤-骨折,肢体肿胀、疼痛、无法行走,外伤、高处坠落,1.立即就医 2.X光检查 3.固定 4.手术或保守治疗 5.康复训练,1.封窗 2.避免高处 3.外出牵引绳,否,固定材料,必须就医
外伤-咬伤,伤口、出血、感染风险,与其他动物打架,1.清洁伤口 2.消毒 3.抗生素预防感染 4.破伤风预防 5.严重时清创缝合,1.避免与其他动物打架 2.多猫家庭注意隔离 3.定期驱虫 4.观察伤口情况,是,碘伏、速诺片剂,严重时需就医
外伤-烫伤,皮肤红肿、水泡、疼痛,接触热源,1.立即降温 2.清洁伤口 3.涂抹烫伤膏 4.预防感染 5.严重时就医,1.避免热源 2.注意安全 3.及时处理,否,烫伤膏,严重时需就医
外伤-冻伤,皮肤苍白、硬、疼痛,低温环境,1.缓慢复温 2.保持温暖 3.避免摩擦 4.严重时就医,1.避免低温环境 2.保持温暖 3.及时处理,否,无,严重时需就医
便秘,排便困难、粪便干硬、排便次数减少、用力,饮水不足、纤维不足、巨结肠、脱水,1.增加饮水量 2.增加纤维摄入 3.轻微可用乳果糖 4.严重时需灌肠 5.治疗原发病 6.补充益生菌,1.充足饮水 2.适当纤维 3.定期排便观察 4.避免过度换毛,是,益生菌、乳果糖,严重时需就医
巨结肠,严重便秘、腹大、食欲下降、呕吐,结肠功能障碍、长期便秘导致,1.灌肠 2.药物治疗 3.手术治疗 4.饮食调整 5.定期监测,1.及时治疗便秘 2.定期检查 3.早期发现,否,灌肠剂,必须就医
肛门腺炎,肛门附近肿胀、疼痛、舔舐肛门、坐在地上摩擦,肛门腺堵塞、感染,1.挤压肛门腺 2.清洁 3.抗生素治疗 4.严重时冲洗 5.定期清理肛门腺,1.定期清理肛门腺 2.注意饮食 3.观察排便情况 4.早期发现,是,抗生素,建议就医
应激反应,躲藏、不吃不喝、拉稀、呕吐、行为改变,环境变化、噪音、新宠物、搬家,1.提供安静空间 2.不要强迫接触 3.保持原作息 4.使用费洛蒙 5.逐渐适应 6.严重时就医,1.减少环境变化 2.保持安静 3.渐进式适应 4.避免过度关注,是,费洛蒙、益生菌,严重时需就医
分离焦虑,吠叫、破坏行为、乱尿、食欲下降,主人离开、独处时间过长,1.逐渐增加独处时间 2.提供玩具和活动 3.外出前消耗精力 4.使用费洛蒙 5.行为训练 6.严重时药物治疗,1.从小训练独处 2.提供丰富活动 3.逐渐适应 4.心理安慰,否,费洛蒙,建议就医
新生猫体温过低,体温低于35℃、活动少、哭声弱、不吃奶,保暖不足、早产、体质弱,1.立即保暖（电热毯、热水袋） 2.缓慢回温 3.补充营养 4.监测体温 5.严重时就医,1.保持适宜温度 2.定期检查体温 3.注意保暖 4.早期发现,否,保温设备,必须就医
新生猫脱水,皮肤弹性差、眼窝凹陷、尿少、精神萎靡,腹泻、呕吐、饮水不足、护理不当,1.补充水分 2.电解质补充 3.治疗原发病 4.严重时输液 5.支持性治疗,1.充足饮水 2.及时治疗腹泻 3.定期观察 4.注意护理,否,电解质溶液,必须就医
新生猫吸入性肺炎,咳嗽、呼吸困难、口鼻有奶液、发烧,呛奶、喂食姿势不当,1.清理口鼻奶液 2.吸氧 3.抗生素治疗 4.支持性治疗 5.严重时输液,1.正确喂食姿势 2.避免呛奶 3.及时处理呛奶 4.早期发现,否,抗生素,必须就医
新生猫脐疝,腹部肚脐处有肿块、可回纳,先天发育异常,1.观察 2.小疝可能自愈 3.大疝需手术治疗 4.避免剧烈运动,1.孕期营养 2.避免近亲繁殖 3.早期发现 4.定期检查,否,无,严重时需手术
新生猫脐带感染,脐带红肿、有分泌物、发烧,脐带护理不当、感染,1.清洁消毒 2.抗生素治疗 3.保持干燥 4.严重时就医,1.正确护理脐带 2.保持清洁 3.定期观察 4.早期发现,否,碘伏、抗生素,建议就医
新生猫低血糖,虚弱、抽搐、昏迷、体温低,长时间未进食、营养不良、早产,1.立即补充葡萄糖 2.保暖 3.支持性治疗 4.监测血糖 5.治疗原发病,1.定期喂食 2.观察状态 3.早期发现 4.及时治疗,否,葡萄糖,必须就医
新生猫感染（如猫瘟）,呕吐、腹泻、发烧、不吃奶、精神萎靡,病毒感染、母猫携带病毒,1.立即就医 2.隔离 3.支持性治疗 4.输液 5.严重时死亡,1.母猫接种疫苗 2.保持环境清洁 3.避免接触患病猫 4.早期发现,否,输液、支持性治疗,必须就医
新生猫先天性畸形,各种畸形、生长缓慢、活动异常,遗传因素、孕期营养不良,1.评估畸形严重程度 2.可能需要手术治疗 3.支持性治疗 4.严重时安乐死,1.避免近亲繁殖 2.孕期营养 3.定期产检 4.早期发现,否,视情况而定,建议就医
