name,category,type,price_level,description,purchase_url
添赐力补血肝精,健康用品,营养补充,mid,贫血、术后或体质偏弱场景可在兽医指导下选用；不可自行加剂量替代检查与治疗。,
宠物软骨素,健康用品,关节护理,mid,矮脚、关节负担较大或折耳等可向兽医咨询是否需要；MAG、vetwish、麦德氏为常见选购参考。,
小壳宠物刷牙套装,护理用品,口腔护理,budget,指南点名小壳作刷牙入门参考；需循序渐进脱敏，牙石牙龈问题先就医评估是否需洁牙。,
电动逗猫球,玩具,电动玩具,budget,自嗨放电向玩具之一；注意地面平整、避免啃咬电池部件，人不在家时建议收好。,
猫爬架,玩具,丰容家具,mid,垂直空间与磨爪休息兼顾；选购看稳固性与占地，搬家后可用零食引导熟悉。,
allforpaws旋转尾巴,玩具,电动互动,mid,指南玩具摘录：旋转尾巴类电动玩具；与同品牌猫砂线（用品库 p27）可分开检索。,
固定视角宠物摄像头,护理用品,监控设备,budget,群友笔记：固定视角入门款相对便宜，可放在猫碗或猫砂盆附近，看小猫在哪里、是否在吃粮或如厕。注意供电、夜视与 App 稳定性。下附为拼多多商品示例链接，失效请按「家用摄像头/宠物监控」同需求重搜。,https://mobile.yangkeduo.com/goods.html?goods_id=711963105756
TP-Link宠物监控,护理用品,监控设备,mid,群友笔记：可定位宠物每日行踪并生成记录、支持定点回看等；部分能力需付费云存储/会员，反馈年费约 70 元/年「还行」——以 TP-Link/Tapo App 实时标价为准。注意固件更新、强密码与镜头隐私区域。,https://www.tp-link.com.cn/home-networking/tapo-network/
霍曼自动喂食器,护理用品,喂食设备,mid,多猫家庭常作功课：可改/双碗方案分猫喂食；品牌侧无 App 推送，需自己留心断电、堵粮、电池续航等，建议定期眼检或配合摄像头。具体型号以电商在售为准。,
小佩自动喂食器,护理用品,喂食设备,mid,单猫向讨论较多：自带摄像头、可视角度相对大，适合远程观察进食与碗况；仍须按时清洗食碗、检查余粮与机器卡滞。,
kingpet针梳,护理用品,梳毛工具,budget,指南短毛梳毛常点名针梳品牌；顺毛方向轻梳，皮屑红肿处停手问医。,
喵梵思宠物排梳,护理用品,梳毛工具,budget,指南经验：排梳可用喵梵思款替代他牌；与针梳配合先理清表层再打薄死毛。,
船记DL103排梳,护理用品,梳毛工具,mid,长毛功课常见：船记 DL103 作开梳/分层；打结严重勿硬扯，配合针梳与局部修剪。,
修眉刀（开结用）,护理用品,梳毛工具,budget,长毛打结：可小心用修眉刀处理「表层结团」；刀刃远离皮肤，挑剪打结毛束，见红或猫叫停手。,
封闭式猫砂盆（需自行组装）,猫砂,猫砂盆,budget,群友笔记：封闭式，但需要自己组装；防外溅与控味因猫而异。下附为拼多多示例链接，失效请按「封闭式猫砂盆」重搜。,https://mobile.yangkeduo.com/goods.html?ps=Ho3jmmEF4F
猫粮-主食-国产,猫粮,主粮,mid,性价比高，适合大多数猫咪，品控相对稳定 适用：全阶段。 品牌参考：鲜朗、弗列加特、诚实一口、东边、金故、格吾安小金盾、蓝氏、网易严选。 相关问题：猫咪应该吃什么猫粮。 渠道：淘宝/京东/拼多多。（条目来自批量导入，链接请自行检索。）,
猫粮-主食-进口,猫粮,主粮,premium,原料优质，营养均衡，适合对品质有要求的家庭 适用：全阶段。 品牌参考：爱肯拿、渴望、百利高、法米娜、皇家、纽顿。 相关问题：猫咪应该吃什么猫粮。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫粮-主食-幼猫专用,猫粮,主粮,mid,满足幼猫生长发育需求，易消化吸收 适用：幼猫。 品牌参考：皇家幼猫粮、鲜朗幼猫系列、帕特幼猫系列。 相关问题：幼猫应该吃什么猫粮。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫粮-主食-减肥猫粮,猫粮,主粮,mid,低脂低卡，适合需要控制体重的猫咪 适用：成猫。 品牌参考：美士、法米娜体重管理。 相关问题：猫咪减肥吃什么猫粮。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫粮-主食-肠胃敏感猫粮,猫粮,主粮,mid,易消化配方，适合肠胃敏感的猫咪 适用：成猫。 品牌参考：东边、皇家肠胃敏感粮。 相关问题：猫咪肠胃不好吃什么。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
湿粮-罐头,猫粮,湿粮,mid,补水补充蛋白质，适合不爱喝水的猫咪 适用：全阶段。 品牌参考：金故、喜崽、喵梵思、诚实一口、格吾安、添赐力、弗列加特、鲜朗、ziwi、金交、zeal、小李子、帕特。 相关问题：猫咪不爱喝水怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
湿粮-猫条,猫粮,湿粮,mid,作为零食奖励，建立感情 适用：全阶段。 品牌参考：弗列加特、鲜朗。 相关问题：猫咪可以吃什么零食。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
零食冻干（综合款）,猫粮,主食冻干,mid,高蛋白低水分，适合训练和奖励 适用：全阶段。 品牌参考：帕特、爱立方小鲜砖、生生不息、金故、喵梵思脆块、地狱厨房、弗列加特、VE。 相关问题：猫咪零食推荐。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
零食-冻干鸡脖,猫粮,洁牙冻干,mid,天然磨牙工具，帮助清洁牙齿 适用：全阶段。 品牌参考：爱立方、喵梵思。 相关问题：猫咪怎么刷牙。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫砂-豆腐砂,猫砂,猫砂,mid,可冲厕所，除臭效果好，环保 适用：全阶段。 品牌参考：pidan、petshy、福丸、许翠花。 相关问题：猫砂怎么选择。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫砂-矿砂,猫砂,猫砂,mid,结团好，除臭佳，用量省 适用：全阶段。 品牌参考：哆唻咪、网易、妮可露、铁锤矿砂。 相关问题：猫砂怎么选择。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫砂-木薯砂,猫砂,猫砂,mid,天然环保，可降解，除臭好 适用：全阶段。 品牌参考：allforpaws。 相关问题：猫砂怎么选择。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫砂盆-封闭式,猫砂,猫砂盆,mid,隐私好，减少异味，适合介意异味的家庭 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫砂盆怎么选择。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫砂盆-不锈钢,猫砂,猫砂盆,mid,耐用易清洁，不易残留异味 适用：全阶段。 品牌参考：网易严选。 相关问题：猫砂盆怎么选择。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫砂垫-带台阶,护理用品,猫砂垫,budget,带出猫砂少，容易清洁 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫砂盆周边清洁。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫碗-陶瓷碗,护理用品,食具,budget,不易滋生细菌，材质安全 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪应该用什么碗。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫碗-水碗,护理用品,食具,budget,大口径浅碗，胡须不触碰 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪不喝水怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
自动饮水机,护理用品,饮水设备,mid,流动水吸引猫咪，促进饮水，预防泌尿问题 适用：全阶段。 品牌参考：霍曼、小佩。 相关问题：猫咪不喝水怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
自动喂食器,护理用品,喂食设备,mid,定时定量，适合忙碌的主人，多猫家庭 适用：全阶段。 品牌参考：霍曼（可改成双碗）。 相关问题：猫咪应该多久喂一次。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫抓板-立式,玩具,玩具,budget,满足磨爪需求，保护家具 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪抓家具怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫抓板-猫屋,玩具,玩具,mid,磨爪+休息双功能 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪磨爪怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
自动球,玩具,玩具,budget,自动运动，适合猫咪独自玩耍 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪独自在家怎么玩。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
飞盘,玩具,玩具,budget,训练追逐能力 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：怎么和猫咪玩耍。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫薄荷响纸玩具,玩具,玩具,budget,吸引猫咪兴趣，增加娱乐 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪不爱玩玩具怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
大木天蓼,玩具,玩具,budget,强效吸引，适合挑食的猫 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪不爱玩玩具怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪隧道,玩具,玩具,budget,满足躲藏和追逐天性 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么消耗精力。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
旋转尾巴玩具,玩具,玩具,budget,电动玩具，自动旋转吸引猫咪 适用：全阶段。 品牌参考：allforpaws。 相关问题：猫咪玩具推荐。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
梳毛梳-针梳,护理用品,护理用品,budget,清理浮毛，预防毛球 适用：全阶段。 品牌参考：kingpet。 相关问题：猫咪怎么梳毛。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
梳毛梳-排梳,护理用品,护理用品,budget,清理毛发里的脏东西 适用：全阶段。 品牌参考：喵梵思、kingpet。 相关问题：猫咪怎么梳毛。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
梳毛梳-船记dl103,护理用品,护理用品,mid,专业梳毛工具，适合长毛猫 适用：长毛猫。 品牌参考：船记。 相关问题：长毛猫怎么梳毛。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
修眉刀,护理用品,护理用品,budget,剪除打结毛发 适用：长毛猫。 品牌参考：各大品牌。 相关问题：猫咪打结怎么办。 渠道：各大商超。（条目来自批量导入，链接请自行检索。）,
猫咪专用湿巾,护理用品,护理用品,budget,日常清洁，擦屁股擦爪子 适用：全阶段。 品牌参考：kojima（纯水、无木糖醇）。 相关问题：猫咪日常护理。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪免洗手套,护理用品,护理用品,budget,清洁猫咪身体，避免频繁洗澡 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么清洁。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪专用指甲剪,护理用品,护理用品,budget,专用设计，安全剪指甲 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么剪指甲。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫窝-暖屋,护理用品,猫窝,budget,保暖舒适，适合冬天 适用：冬季。 品牌参考：各大宠物用品品牌。 相关问题：猫咪冬天怎么保暖。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫窝-凉垫,护理用品,猫窝,budget,凉爽透气，适合夏天 适用：夏季。 品牌参考：各大宠物用品品牌。 相关问题：猫咪夏天怎么降温。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫吊床,护理用品,猫窝,budget,悬挂设计，猫咪喜欢 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪喜欢什么样的窝。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
航空箱,护理用品,出行用品,mid,适合平躺场景，如绝育后、长期坐车 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪出门怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫包,护理用品,出行用品,budget,方便携带，适合短途出行 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪出门怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪牵引绳,护理用品,出行用品,budget,外出训练，防止走失 适用：全阶段。 品牌参考：工字型牵引绳。 相关问题：猫咪可以遛吗。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
除毛刷,护理用品,清洁用品,budget,清理衣服和家具上的猫毛 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：家里猫毛太多怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
粘毛器,护理用品,清洁用品,budget,快速清理衣物上的猫毛 适用：全阶段。 品牌参考：各大品牌。 相关问题：家里猫毛太多怎么办。 渠道：各大商超。（条目来自批量导入，链接请自行检索。）,
除螨仪,护理用品,清洁用品,mid,深度清洁家居环境 适用：全阶段。 品牌参考：各大品牌。 相关问题：家庭清洁除螨。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪监控,护理用品,监控设备,mid,远程观察猫咪行为，多猫家庭必备 适用：全阶段。 品牌参考：小佩（单猫视野大）、tplink（可定位行踪）。 相关问题：上班不在家猫咪怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪专用沐浴露,护理用品,洗澡用品,budget,温和不刺激，适合猫咪皮肤 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么洗澡。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
吹风机,护理用品,洗澡用品,mid,快速吹干猫咪，避免感冒 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪怎么洗澡。 渠道：各大商超。（条目来自批量导入，链接请自行检索。）,
毛巾,护理用品,洗澡用品,budget,吸水性好，材质柔软 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪怎么洗澡。 渠道：各大商超。（条目来自批量导入，链接请自行检索。）,
牙刷-小头牙刷,护理用品,护理用品,budget,适合猫咪口腔大小 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么刷牙。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
牙膏-宠物专用,护理用品,护理用品,budget,可吞咽配方，安全无毒 适用：全阶段。 品牌参考：petsmile。 相关问题：猫咪怎么刷牙。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪专用洗发水,护理用品,洗澡用品,mid,针对不同皮肤问题 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪皮肤问题。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
体温计,护理用品,护理用品,budget,测量猫咪体温 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪生病怎么判断。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
益生菌,健康用品,营养品,budget,调理肠胃，治疗腹泻 适用：全阶段。 品牌参考：mag、麦德氏、它宠。 相关问题：猫咪拉稀怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
维生素,健康用品,营养品,mid,补充维生素，促进健康 适用：全阶段。 品牌参考：卫仕、vetwish。 相关问题：猫咪营养不良怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
补血肝精,健康用品,营养品,mid,治疗贫血 适用：全阶段。 品牌参考：添赐力。 相关问题：猫咪贫血怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
软骨素,健康用品,营养品,mid,保护关节，预防关节炎 适用：老年猫/矮脚猫。 品牌参考：mag、vetwish、麦德氏。 相关问题：老年猫/矮脚猫护理。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
生理盐水,护理用品,护理用品,budget,清洁眼部、耳朵、伤口 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪眼部护理/耳部护理。 渠道：各大药店。（条目来自批量导入，链接请自行检索。）,
碘伏,护理用品,护理用品,budget,外伤消毒 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪受伤怎么办。 渠道：各大药店。（条目来自批量导入，链接请自行检索。）,
专用洗必泰,护理用品,护理用品,mid,治疗黑下巴和毛囊炎 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪黑下巴怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
托百士妥布霉素滴眼液,健康用品,药品,budget,治疗眼睛发炎红肿 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪眼屎多怎么办。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
海乐妙,护理用品,驱虫药,mid,体内驱虫，驱除多种寄生虫 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪应该多久驱虫一次。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
大宠爱,护理用品,驱虫药,mid,体外驱虫，同时驱除部分体内寄生虫 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪应该多久驱虫一次。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
爱沃克,护理用品,驱虫药,mid,体内外同驱 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪应该多久驱虫一次。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
福来恩,护理用品,驱虫药,mid,体外驱虫，针对跳蚤蜱虫 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪应该多久驱虫一次。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
速诺片剂50mg,健康用品,药品,mid,抗生素，治疗感冒、鼻支、口腔炎症 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪生病怎么办。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
多西环素,健康用品,药品,mid,抗生素，治疗呼吸道感染、感冒咳嗽 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪打喷嚏怎么办。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
盐酸特比萘芬喷剂,健康用品,药品,mid,治疗猫藓等真菌感染 适用：全阶段。 品牌参考：各大品牌。 相关问题：猫咪猫藓怎么办。 渠道：各大药店/宠物医院。（条目来自批量导入，链接请自行检索。）,
伊丽莎白圈,护理用品,护理用品,budget,防止舔舐伤口 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪绝育后护理/猫咪受伤护理。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫草,护理用品,护理用品,budget,帮助猫咪吐毛球，补充维生素 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪吐毛球怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
漏食球,玩具,玩具,budget,增加进食难度，消耗精力 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么消耗精力。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
激光笔,玩具,玩具,budget,训练追逐能力 适用：全阶段。 品牌参考：各大品牌。 相关问题：怎么和猫咪玩耍。 渠道：各大商超。（条目来自批量导入，链接请自行检索。）,
猫抓垫,玩具,玩具,budget,保护家具，满足磨爪需求 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪抓家具怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫抓柱,玩具,玩具,mid,大尺寸磨爪设施 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪抓家具怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫厕所-封闭式,猫砂,猫砂盆,mid,隐私好，减少异味 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫砂盆怎么选择。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫厕所-顶入式,猫砂,猫砂盆,mid,减少带出猫砂，私密性好 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫砂盆怎么选择。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫砂铲,护理用品,猫砂盆配件,budget,清理猫砂盆 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫砂盆清洁。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫粮储存桶,护理用品,储存用品,budget,保持猫粮新鲜，防潮防虫 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫粮怎么保存。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪湿纸巾,护理用品,护理用品,budget,日常清洁 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪日常护理。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪尿垫,护理用品,猫砂盆配件,budget,垫在猫砂盆下，保持清洁 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫砂盆周边清洁。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
