"疾病名称","症状","原因","治疗方法","预防措施","是否常见","相关药品","是否需就医","","","","","","","","","","","",""
"肝脏疾病","食欲下降、黄疸、呕吐、消瘦、精神萎靡","毒素、感染、脂肪肝、肿瘤","1.保肝药物<br>2.支持性治疗<br>3.营养支持<br>4.治疗原发病<br>5.严重时输液","1.避免肝毒性物质<br>2.定期体检<br>3.健康饮食<br>4.避免肥胖<br>5.早期发现","否","保肝药物","必须就医","","","","","","","","","","","",""
"脂肪肝","食欲下降、黄疸、呕吐、精神萎靡、体重下降","长期不进食导致脂肪堆积","1.强制喂食<br>2.营养支持<br>3.保肝治疗<br>4.输液治疗<br>5.监测肝功能","1.避免长期不进食<br>2.及时治疗食欲不振<br>3.健康饮食<br>4.避免肥胖<br>5.定期体检","否","营养支持、保肝药物","必须就医","","","","","","","","","","","",""
"心脏疾病","呼吸困难、咳嗽、食欲下降、运动耐力下降、突发死亡","先天性心脏缺陷、肥厚型心肌病、扩张型心肌病","1.药物治疗<br>2.限制运动<br>3.低盐饮食<br>4.定期检查心脏功能<br>5.严重时氧疗","1.定期体检<br>2.早期发现<br>3.避免应激<br>4.健康饮食<br>5.注意运动后反应","否","心脏药物","必须就医","","","","","","","","","","","",""
"骨折","肢体肿胀、疼痛、无法行走、异常姿势","外伤、高处坠落、车辆撞击","1.立即就医<br>2.X光检查<br>3.固定骨折部位<br>4.手术或保守治疗<br>5.止痛治疗<br>6.康复训练","1.封窗防止坠落<br>2.避免高处攀爬<br>3.外出使用牵引绳<br>4.注意安全","否","止痛药、固定材料","必须就医","","","","","","","","","","","",""
"中毒","呕吐、腹泻、抽搐、昏迷、呼吸困难","误食有毒物质（百合、巧克力、药物等）","1.立即就医<br>2.催吐（根据毒物种类）<br>3.对症治疗<br>4.支持性治疗<br>5.解毒剂（如有）","1.避免接触有毒植物（百合）<br>2.不吃巧克力、咖啡<br>3.药物妥善保管<br>4.避免接触杀虫剂<br>5.了解常见有毒物质","否","解毒剂、输液","必须就医","","","","","","","","","","","",""
"中暑","呼吸急促、体温升高、精神萎靡、甚至昏迷","高温环境、密闭空间、缺乏通风","1.立即降温（温水擦拭）<br>2.补充水分<br>3.严重时立即就医<br>4.输液治疗<br>5.监测体温","1.避免高温环境<br>2.保持通风<br>3.不要留在密闭车内<br>4.夏季注意防暑<br>5.充足饮水","否","输液","严重时需就医","","","","","","","","","","","",""
"热应激","张口呼吸、流口水、体温升高、心率加快","高温环境、应激、过度运动","1.立即降温<br>2.补充水分<br>3.转移到阴凉处<br>4.休息<br>5.严重时就医","1.避免高温环境<br>2.保持通风<br>3.避免过度运动<br>4.夏季注意防暑","否","无","严重时需就医","","","","","","","","","","","",""
"子宫蓄脓","食欲下降、精神萎靡、腹大、阴道分泌物、发烧","细菌感染、未绝育","1.立即就医<br>2.手术治疗（绝育）<br>3.抗生素治疗<br>4.输液治疗<br>5.支持性治疗","1.适龄绝育<br>2.定期体检<br>3.注意分泌物异常<br>4.早期发现","否","抗生素、输液","必须就医","","","","","","","","","","","",""
"乳腺肿瘤","乳房肿块、疼痛、分泌物、消瘦","激素影响、遗传","1.手术切除<br>2.化疗（恶性）<br>3.支持性治疗<br>4.定期检查","1.适龄绝育<br>2.定期体检<br>3.早期发现<br>4.触摸检查乳房","否","手术、化疗","必须就医","","","","","","","","","","","",""
"皮肤过敏","瘙痒、抓挠、皮肤红肿、掉毛","食物过敏、环境过敏、接触性过敏","1.寻找过敏原<br>2.避免接触过敏原<br>3.抗过敏药物<br>4.皮肤护理<br>5.严重时激素治疗","1.记录过敏原<br>2.避免接触<br>3.保持环境清洁<br>4.选择低敏猫粮","否","抗过敏药物","建议就医","","","","","","","","","","","",""
"过敏性鼻炎","打喷嚏、流鼻涕、鼻子瘙痒","环境过敏（花粉、灰尘）","1.避免接触过敏原<br>2.抗过敏药物<br>3.清洁鼻腔<br>4.保持环境清洁","1.保持环境清洁<br>2.减少灰尘<br>3.避免过敏原<br>4.空气净化","否","抗过敏药物","建议就医","","","","","","","","","","","",""
"外伤","出血、疼痛、伤口、肿胀","外伤、打架、意外","1.清洁伤口（生理盐水）<br>2.消毒（碘伏）<br>3.止血<br>4.包扎<br>5.严重时缝合<br>6.抗生素预防感染","1.多猫家庭注意隔离<br>2.避免危险物品<br>3.外出注意安全<br>4.定期检查猫咪状态","是","生理盐水、碘伏、速诺片剂","严重时需就医","","","","","","","","","","","",""
"外伤-骨折","肢体肿胀、疼痛、无法行走","外伤、高处坠落","1.立即就医<br>2.X光检查<br>3.固定<br>4.手术或保守治疗<br>5.康复训练","1.封窗<br>2.避免高处<br>3.外出牵引绳","否","固定材料","必须就医","","","","","","","","","","","",""
"外伤-咬伤","伤口、出血、感染风险","与其他动物打架","1.清洁伤口<br>2.消毒<br>3.抗生素预防感染<br>4.破伤风预防<br>5.严重时清创缝合","1.避免与其他动物打架<br>2.多猫家庭注意隔离<br>3.定期驱虫<br>4.观察伤口情况","是","碘伏、速诺片剂","严重时需就医","","","","","","","","","","","",""
"外伤-烫伤","皮肤红肿、水泡、疼痛","接触热源","1.立即降温<br>2.清洁伤口<br>3.涂抹烫伤膏<br>4.预防感染<br>5.严重时就医","1.避免热源<br>2.注意安全<br>3.及时处理","否","烫伤膏","严重时需就医","","","","","","","","","","","",""
"外伤-冻伤","皮肤苍白、硬、疼痛","低温环境","1.缓慢复温<br>2.保持温暖<br>3.避免摩擦<br>4.严重时就医","1.避免低温环境<br>2.保持温暖<br>3.及时处理","否","无","严重时需就医","","","","","","","","","","","",""
"便秘","排便困难、粪便干硬、排便次数减少、用力","饮水不足、纤维不足、巨结肠、脱水","1.增加饮水量<br>2.增加纤维摄入<br>3.轻微可用乳果糖<br>4.严重时需灌肠<br>5.治疗原发病<br>6.补充益生菌","1.充足饮水<br>2.适当纤维<br>3.定期排便观察<br>4.避免过度换毛","是","益生菌、乳果糖","严重时需就医","","","","","","","","","","","",""
"巨结肠","严重便秘、腹大、食欲下降、呕吐","结肠功能障碍、长期便秘导致","1.灌肠<br>2.药物治疗<br>3.手术治疗<br>4.饮食调整<br>5.定期监测","1.及时治疗便秘<br>2.定期检查<br>3.早期发现","否","灌肠剂","必须就医","","","","","","","","","","","",""
"肛门腺炎","肛门附近肿胀、疼痛、舔舐肛门、坐在地上摩擦","肛门腺堵塞、感染","1.挤压肛门腺<br>2.清洁<br>3.抗生素治疗<br>4.严重时冲洗<br>5.定期清理肛门腺","1.定期清理肛门腺<br>2.注意饮食<br>3.观察排便情况<br>4.早期发现","是","抗生素","建议就医","","","","","","","","","","","",""
"应激反应","躲藏、不吃不喝、拉稀、呕吐、行为改变","环境变化、噪音、新宠物、搬家","1.提供安静空间<br>2.不要强迫接触<br>3.保持原作息<br>4.使用费洛蒙<br>5.逐渐适应<br>6.严重时就医","1.减少环境变化<br>2.保持安静<br>3.渐进式适应<br>4.避免过度关注","是","费洛蒙、益生菌","严重时需就医","","","","","","","","","","","",""
"分离焦虑","吠叫、破坏行为、乱尿、食欲下降","主人离开、独处时间过长","1.逐渐增加独处时间<br>2.提供玩具和活动<br>3.外出前消耗精力<br>4.使用费洛蒙<br>5.行为训练<br>6.严重时药物治疗","1.从小训练独处<br>2.提供丰富活动<br>3.逐渐适应<br>4.心理安慰","否","费洛蒙","建议就医","","","","","","","","","","","",""
"新生猫体温过低","体温低于35℃、活动少、哭声弱、不吃奶","保暖不足、早产、体质弱","1.立即保暖（电热毯、热水袋）<br>2.缓慢回温<br>3.补充营养<br>4.监测体温<br>5.严重时就医","1.保持适宜温度<br>2.定期检查体温<br>3.注意保暖<br>4.早期发现","否","保温设备","必须就医","","","","","","","","","","","",""
"新生猫脱水","皮肤弹性差、眼窝凹陷、尿少、精神萎靡","腹泻、呕吐、饮水不足、护理不当","1.补充水分<br>2.电解质补充<br>3.治疗原发病<br>4.严重时输液<br>5.支持性治疗","1.充足饮水<br>2.及时治疗腹泻<br>3.定期观察<br>4.注意护理","否","电解质溶液","必须就医","","","","","","","","","","","",""
"新生猫吸入性肺炎","咳嗽、呼吸困难、口鼻有奶液、发烧","呛奶、喂食姿势不当","1.清理口鼻奶液<br>2.吸氧<br>3.抗生素治疗<br>4.支持性治疗<br>5.严重时输液","1.正确喂食姿势<br>2.避免呛奶<br>3.及时处理呛奶<br>4.早期发现","否","抗生素","必须就医","","","","","","","","","","","",""
"新生猫脐疝","腹部肚脐处有肿块、可回纳","先天发育异常","1.观察<br>2.小疝可能自愈<br>3.大疝需手术治疗<br>4.避免剧烈运动","1.孕期营养<br>2.避免近亲繁殖<br>3.早期发现<br>4.定期检查","否","无","严重时需手术","","","","","","","","","","","",""
"新生猫脐带感染","脐带红肿、有分泌物、发烧","脐带护理不当、感染","1.清洁消毒<br>2.抗生素治疗<br>3.保持干燥<br>4.严重时就医","1.正确护理脐带<br>2.保持清洁<br>3.定期观察<br>4.早期发现","否","碘伏、抗生素","建议就医","","","","","","","","","","","",""
"新生猫低血糖","虚弱、抽搐、昏迷、体温低","长时间未进食、营养不良、早产","1.立即补充葡萄糖<br>2.保暖<br>3.支持性治疗<br>4.监测血糖<br>5.治疗原发病","1.定期喂食<br>2.观察状态<br>3.早期发现<br>4.及时治疗","否","葡萄糖","必须就医","","","","","","","","","","","",""
"新生猫感染（如猫瘟）","呕吐、腹泻、发烧、不吃奶、精神萎靡","病毒感染、母猫携带病毒","1.立即就医<br>2.隔离<br>3.支持性治疗<br>4.输液<br>5.严重时死亡","1.母猫接种疫苗<br>2.保持环境清洁<br>3.避免接触患病猫<br>4.早期发现","否","输液、支持性治疗","必须就医","","","","","","","","","","","",""
"新生猫先天性畸形","各种畸形、生长缓慢、活动异常","遗传因素、孕期营养不良","1.评估畸形严重程度<br>2.可能需要手术治疗<br>3.支持性治疗<br>4.严重时安乐死","1.避免近亲繁殖<br>2.孕期营养<br>3.定期产检<br>4.早期发现","否","视情况而定","建议就医","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
